ft,bt,transmission,price,Seats,Mileage,city
Petrol,Sedan,Manual,2.5,5,15.4,bangalore
Petrol,Hatchback,Manual,7.05,5,21.4,bangalore
Petrol,Hatchback,Manual,6.53,5,21.4,bangalore
Petrol,Sedan,Automatic,8.72,5,18.0,bangalore
Petrol,Hatchback,Automatic,5.64,5,18.9,bangalore
Diesel,Hatchback,Manual,3.7,5,22.07,bangalore
Petrol,Hatchback,Manual,5.5,5,22.38,bangalore
Petrol,Hatchback,Manual,5.17,5,18.7,bangalore
Petrol,Sedan,Manual,6.2,5,20.85,bangalore
Petrol,Sedan,Manual,6.2,5,20.85,bangalore
Petrol,Sedan,Automatic,7.5,5,18.0,bangalore
Petrol,SUV,Manual,12.2,5,17.57,bangalore
Diesel,Hatchback,Automatic,13.5,5,14.8,bangalore
Petrol,Hatchback,Manual,5.75,5,22.0,bangalore
Diesel,SUV,Manual,12.5,5,17.1,bangalore
Petrol,Sedan,Manual,8.68,5,17.01,bangalore
Diesel,MUV,Automatic,30.0,8,14.11,bangalore
Petrol,Hatchback,Manual,9.8,5,20.0,bangalore
Petrol,Hatchback,Automatic,9.0,5,22.56,bangalore
Petrol,Hatchback,Manual,5.5,5,18.7,bangalore
Diesel,Sedan,Manual,4.5,5,20.5,bangalore
Petrol,Hatchback,Manual,6.1,5,20.4,bangalore
Petrol,Hatchback,Manual,5.43,5,18.7,bangalore
Petrol,Hatchback,Manual,9.8,5,20.0,bangalore
Petrol,Hatchback,Manual,5.35,5,18.7,bangalore
Diesel,SUV,Manual,8.5,7,15.1,bangalore
Petrol,Sedan,Manual,6.61,5,20.73,bangalore
Petrol,Hatchback,Manual,5.05,5,22.38,bangalore
Diesel,Sedan,Automatic,4.5,5,15.6,bangalore
Petrol,SUV,Manual,8.65,5,17.5,bangalore
Petrol,SUV,Manual,9.99,5,18.27,bangalore
Diesel,SUV,Manual,5.95,5,20.45,bangalore
Petrol,Sedan,Automatic,23.65,5,14.67,bangalore
Petrol,Sedan,Manual,4.0,5,14.6,bangalore
Diesel,Sedan,Manual,5.5,5,19.3,bangalore
Diesel,SUV,Automatic,60.5,5,14.71,bangalore
Diesel,SUV,Automatic,16.0,5,16.55,bangalore
Petrol,Hatchback,Automatic,5.2,5,17.21,bangalore
Petrol,Hatchback,Manual,6.16,5,21.4,bangalore
Petrol,Sedan,Manual,7.95,5,21.56,bangalore
Diesel,MUV,Manual,12.75,7,12.99,bangalore
Petrol,Hatchback,Manual,6.24,5,18.7,bangalore
Petrol,Hatchback,Manual,5.49,5,18.9,bangalore
Diesel,MUV,Manual,7.6,7,11.4,bangalore
Petrol,Sedan,Manual,5.24,5,22.41,bangalore
Diesel,SUV,Manual,16.5,7,15.1,bangalore
Diesel,Hatchback,Manual,5.83,5,25.2,bangalore
Petrol,Sedan,Manual,11.47,5,17.69,bangalore
Petrol,Hatchback,Automatic,17.5,4,13.6,bangalore
Diesel,Sedan,Automatic,8.25,5,21.72,bangalore
Diesel,SUV,Automatic,31.5,7,12.51,bangalore
Petrol,Hatchback,Manual,7.55,5,16.2,bangalore
Petrol,SUV,Manual,8.75,5,13.0,bangalore
Petrol,Hatchback,Manual,8.55,5,17.74,bangalore
Diesel,SUV,Automatic,18.45,7,12.55,bangalore
Petrol,Hatchback,Manual,5.25,5,18.9,bangalore
Petrol,Hatchback,Automatic,6.5,5,18.9,bangalore
Diesel,MUV,Manual,9.5,7,12.8,bangalore
Petrol,Sedan,Automatic,8.46,5,18.0,bangalore
Petrol,Hatchback,Manual,4.24,5,22.38,bangalore
Petrol,Hatchback,Manual,2.1,5,19.7,bangalore
Petrol,Sedan,Manual,9.59,5,17.1,bangalore
Petrol,SUV,Manual,8.89,5,16.42,bangalore
Petrol,SUV,Automatic,8.5,5,19.03,bangalore
Diesel,SUV,Manual,8.36,5,23.0,bangalore
Petrol,SUV,Automatic,6.6,5,19.03,bangalore
Petrol,Hatchback,Manual,3.34,5,19.4,bangalore
Petrol,SUV,Manual,5.94,6,18.15,bangalore
Petrol,SUV,Automatic,9.91,5,18.24,bangalore
Diesel,SUV,Manual,14.5,5,17.1,bangalore
Diesel,Sedan,Manual,2.19,5,20.54,bangalore
Diesel,SUV,Manual,12.85,5,17.0,bangalore
Petrol,SUV,Automatic,41.95,5,12.18,bangalore
Diesel,MUV,Manual,4.55,8,12.8,bangalore
Petrol,Hatchback,Manual,8.25,5,22.35,bangalore
Petrol,Sedan,Manual,8.25,5,17.4,bangalore
Diesel,SUV,Manual,9.2,5,23.0,bangalore
Diesel,Sedan,Automatic,33.0,5,19.27,bangalore
Diesel,SUV,Manual,7.29,5,22.77,bangalore
Petrol,Hatchback,Manual,4.32,5,25.24,bangalore
Diesel,SUV,Manual,7.0,5,19.87,bangalore
Petrol,Sedan,Manual,14.99,5,17.7,bangalore
Petrol,SUV,Manual,7.62,5,13.06,bangalore
Petrol,SUV,Manual,16.25,5,15.43,bangalore
Diesel,SUV,Manual,6.32,5,20.45,bangalore
Petrol,SUV,Automatic,12.18,5,18.15,bangalore
Petrol,Hatchback,Automatic,5.24,5,18.9,bangalore
Diesel,SUV,Manual,14.05,7,15.1,bangalore
Petrol,SUV,Manual,13.9,5,18.2,bangalore
Petrol,SUV,Automatic,18.9,5,12.0,bangalore
Petrol,SUV,Automatic,12.75,5,13.0,bangalore
Petrol,Hatchback,Automatic,2.75,5,19.2,bangalore
Petrol,Sedan,Manual,11.25,5,17.4,bangalore
Petrol,Sedan,Automatic,6.5,5,18.0,bangalore
Petrol,Sedan,Automatic,7.0,5,12.3,bangalore
Petrol,Sedan,Manual,11.0,5,17.14,bangalore
Diesel,Sedan,Manual,2.6,5,21.03,bangalore
Petrol,Hatchback,Automatic,3.95,5,19.2,bangalore
Petrol,Sedan,Manual,6.81,5,20.14,bangalore
Petrol,Hatchback,Manual,4.05,5,21.7,bangalore
Petrol,Hatchback,Automatic,7.65,5,19.0,bangalore
Diesel,Hatchback,Manual,4.87,5,23.2,bangalore
Diesel,SUV,Manual,14.74,7,15.1,bangalore
Diesel,SUV,Automatic,13.4,7,16.0,bangalore
