ft,bt,transmission,ownerNo,oem,model,modelYear,price,Fuel Type,Seats,Kms Driven,Transmission,Mileage
Diesel,SUV,Automatic,1,Land Rover,Land Rover Range Rover Evoque,2019,41.5,Diesel,5,53000,Automatic,15.68
Petrol,SUV,Manual,2,Maruti,Maruti Grand Vitara,2012,6.5,Petrol,5,110000,Manual,10.4
Petrol,Hatchback,Manual,1,Maruti,Maruti Wagon R,2012,3.0,Petrol,5,60000,Manual,18.9
Petrol,Sedan,Automatic,1,Mercedes-Benz,Mercedes-Benz C-Class,2022,57.0,Petrol,5,22000,Automatic,16.9
Petrol,Hatchback,Manual,1,Maruti,Maruti Swift,2022,7.13,Petrol,5,30000,Manual,22.38
Petrol,SUV,Automatic,2,Ford,Ford Ecosport,2015,5.15,Petrol,5,90000,Automatic,15.63
Petrol,Hatchback,Manual,1,Maruti,Maruti Baleno,2020,6.0,Petrol,5,50000,Manual,21.01
Diesel,SUV,Automatic,1,Tata,Tata Harrier,2022,20.9,Diesel,5,22000,Automatic,14.6
Petrol,Sedan,Automatic,1,Maruti,Maruti Ciaz,2016,6.9,Petrol,5,48000,Automatic,19.12
Petrol,Hatchback,Manual,1,Maruti,Maruti Baleno,2016,5.13,Petrol,5,35467,Manual,21.4
Petrol,Sedan,Automatic,1,Hyundai,Hyundai Verna,2017,8.5,Petrol,5,54481,Automatic,17.0
Petrol,SUV,Manual,1,Maruti,Maruti Brezza,2022,8.35,Petrol,5,24000,Manual,20.15
Petrol,Hatchback,Manual,1,Hyundai,Hyundai Grand i10,2017,4.39,Petrol,5,76181,Manual,18.9
Petrol,Hatchback,Manual,1,Maruti,Maruti Baleno,2020,7.2,Petrol,5,23842,Manual,21.01
Petrol,SUV,Manual,2,Maruti,Maruti Vitara Brezza,2022,9.42,Petrol,5,20000,Manual,17.03
Petrol,Sedan,Automatic,1,Honda,Honda City,2014,5.38,Petrol,5,94407,Automatic,18.0
Petrol,Sedan,Manual,1,Hyundai,Hyundai Accent,2009,1.0,Petrol,5,80000,Manual,16.36
Petrol,Hatchback,Manual,1,Maruti,Maruti Baleno,2016,4.91,Petrol,5,124245,Manual,21.4
Petrol,Sedan,Automatic,1,Honda,Honda Amaze,2022,9.25,Petrol,5,5100,Automatic,18.3
Petrol,SUV,Manual,1,Toyota,Toyota Urban cruiser,2022,10.6,Petrol,5,30000,Manual,17.03
Diesel,SUV,Manual,2,Toyota,Toyota Fortuner,2012,9.0,Diesel,7,120000,Manual,13.0
Diesel,SUV,Manual,1,Maruti,Maruti Vitara Brezza,2018,6.7,Diesel,5,50000,Manual,24.3
Petrol,SUV,Manual,1,Ford,Ford Ecosport,2017,5.0,Petrol,5,89698,Manual,18.88
Diesel,Sedan,Automatic,2,Audi,Audi A4,2014,12.5,Diesel,5,18000,Automatic,16.55
Petrol,Hatchback,Manual,3,Maruti,Maruti Swift,2009,1.1,Petrol,5,100000,Manual,16.1
Petrol,Hatchback,Manual,2,Hyundai,Hyundai Santro Xing,2010,1.5,Petrol,5,60000,Manual,17.92
Diesel,SUV,Automatic,2,Ford,Ford Endeavour,2019,32.0,Diesel,7,30000,Automatic,10.91
Lpg,Hatchback,Manual,1,Hyundai,Hyundai i10,2014,2.4,LPG,5,30000,Manual,19.0
Petrol,Sedan,Manual,3,Honda,Honda City,2014,4.6,Petrol,5,100000,Manual,17.4
Petrol,Hatchback,Manual,1,Hyundai,Hyundai Grand i10,2016,4.11,Petrol,5,58193,Manual,18.9
Petrol,Hatchback,Manual,2,Maruti,Maruti Baleno,2017,4.81,Petrol,5,68621,Manual,21.4
Petrol,SUV,Manual,1,Honda,Honda WR-V,2017,6.7,Petrol,5,50000,Manual,17.5
Petrol,Hatchback,Manual,1,Maruti,Maruti Baleno,2020,7.24,Petrol,5,23399,Manual,21.01
Petrol,Hatchback,Manual,1,Hyundai,Hyundai i20 Active,2017,5.46,Petrol,5,60915,Manual,17.19
Cng,MUV,Manual,1,Maruti,Maruti Ertiga,2018,7.99,CNG,7,44000,Manual,17.5
Petrol,Hatchback,Manual,1,Volkswagen,Volkswagen Polo,2013,2.78,Petrol,5,101297,Manual,16.47
Petrol,Sedan,Automatic,1,Honda,Honda City,2023,15.75,Petrol,5,10000,Automatic,18.4
Petrol,Hatchback,Manual,1,Honda,Honda Brio,2013,2.61,Petrol,5,73883,Manual,19.4
Diesel,SUV,Manual,1,Tata,Tata Safari Storme,2014,4.15,Diesel,7,75000,Manual,14.0
Diesel,Hatchback,Manual,1,Mahindra,Mahindra KUV 100 NXT,2018,3.99,Diesel,5,69000,Manual,25.32
Petrol,Hatchback,Automatic,1,Hyundai,Hyundai i10,2011,2.2,Petrol,5,58632,Automatic,16.95
Petrol,Sedan,Automatic,1,Honda,Honda Civic,2011,3.3,Petrol,5,41352,Automatic,13.9
Petrol,Sedan,Manual,1,Maruti,Maruti Swift Dzire,2015,4.35,Petrol,5,37000,Manual,19.1
Diesel,SUV,Automatic,1,Mahindra,Mahindra XUV500,2019,14.75,Diesel,7,50000,Automatic,15.1
Petrol,Hatchback,Manual,1,Maruti,Maruti Ignis,2018,4.5,Petrol,5,90000,Manual,20.89
Petrol,Sedan,Automatic,1,Mercedes-Benz,Mercedes-Benz C-Class,2020,44.0,Petrol,5,7800,Automatic,11.9
Diesel,Sedan,Manual,1,Maruti,Maruti Swift Dzire,2016,3.8,Diesel,5,120000,Manual,26.59
Cng,Hatchback,Manual,1,Hyundai,Hyundai Santro Xing,2010,0.95,CNG,5,120000,Manual,17.0
Petrol,Hatchback,Manual,1,Maruti,Maruti Baleno,2020,6.75,Petrol,5,59014,Manual,21.01
Petrol,Hatchback,Automatic,1,Honda,Honda Brio,2017,5.27,Petrol,5,43148,Automatic,16.5
