ft,bt,transmission,ownerNo,oem,model,modelYear,price,Fuel Type,Seats,Kms Driven,Transmission,Mileage
Diesel,SUV,Manual,1,Tata,Tata Safari Storme,2013,4.0,Diesel,7,100000,Manual,14.0
Diesel,SUV,Automatic,1,Toyota,Toyota Fortuner,2018,33.5,Diesel,7,51800,Automatic,15.04
Petrol,Sedan,Manual,5,Honda,Honda Civic,2010,2.0,Petrol,5,100000,Manual,14.8
Petrol,Sedan,Manual,5,Honda,Honda Civic,2010,2.0,Petrol,5,100000,Manual,14.8
Petrol,Hatchback,Manual,2,Hyundai,Hyundai i20,2019,5.1,Petrol,5,70000,Manual,18.6
Diesel,SUV,Automatic,1,Audi,Audi Q3,2013,8.7,Diesel,5,87000,Automatic,15.73
Petrol,MUV,Manual,1,Maruti,Maruti XL6,2021,11.0,Petrol,6,7000,Manual,19.01
Diesel,Hatchback,Automatic,2,Maruti,Maruti Ignis,2017,4.45,Diesel,5,60000,Automatic,26.8
Petrol,SUV,Automatic,1,Ford,Ford Ecosport,2015,5.47,Petrol,5,88710,Automatic,16.5
Petrol,Hatchback,Manual,1,Maruti,Maruti Baleno,2019,6.26,Petrol,5,47644,Manual,21.4
Diesel,SUV,Manual,1,Mahindra,Mahindra XUV500,2017,12.0,Diesel,7,40000,Manual,16.0
Petrol,Hatchback,Manual,1,Maruti,Maruti Baleno,2016,4.45,Petrol,5,100505,Manual,21.4
Petrol,Hatchback,Manual,1,Hyundai,Hyundai i20,2015,4.58,Petrol,5,106648,Manual,18.6
Cng,Hatchback,Manual,2,Hyundai,Hyundai Santro Xing,2014,2.05,CNG,5,60000,Manual,11.88
Cng,Hatchback,Manual,1,Maruti,Maruti Wagon R,2019,5.07,CNG,5,53481,Manual,33.54
Petrol,Hatchback,Manual,2,Maruti,Maruti Wagon R,2012,2.4,Petrol,5,40000,Manual,18.9
Petrol,Hatchback,Manual,1,Maruti,Maruti Baleno,2019,7.13,Petrol,5,25050,Manual,21.4
Diesel,SUV,Manual,1,Mahindra,Mahindra XUV500,2016,8.9,Diesel,7,77000,Manual,16.0
Petrol,Hatchback,Manual,4,Maruti,Maruti Swift,2006,1.35,Petrol,5,120000,Manual,16.1
Petrol,Sedan,Manual,1,Honda,Honda Amaze,2014,3.9,Petrol,5,58000,Manual,18.0
Petrol,Sedan,Manual,1,Honda,Honda City,2014,5.75,Petrol,5,96000,Manual,17.8
Cng,Hatchback,Manual,1,Maruti,Maruti Celerio,2019,4.0,CNG,5,51000,Manual,31.79
Diesel,Hatchback,Manual,1,Honda,Honda Jazz,2015,3.5,Diesel,5,70000,Manual,27.3
Diesel,SUV,Automatic,1,Hyundai,Hyundai Alcazar,2022,20.5,Diesel,7,27000,Automatic,18.1
Petrol,SUV,Manual,1,Tata,Tata Nexon,2020,8.25,Petrol,5,32456,Manual,17.33
Petrol,Sedan,Manual,1,Hyundai,Hyundai Verna,2021,9.5,Petrol,5,34940,Manual,17.7
Diesel,Sedan,Manual,3,Hyundai,Hyundai Verna,2016,5.0,Diesel,5,70000,Manual,23.9
Petrol,Hatchback,Manual,1,Maruti,Maruti Baleno,2019,6.08,Petrol,5,73679,Manual,21.4
Petrol,Hatchback,Manual,2,Hyundai,Hyundai Grand i10,2017,4.23,Petrol,5,32722,Manual,18.9
Petrol,Hatchback,Automatic,2,Volkswagen,Volkswagen Polo,2018,8.0,Petrol,5,70000,Automatic,17.21
Petrol,Sedan,Manual,1,Hyundai,Hyundai Verna,2019,9.22,Petrol,5,59059,Manual,17.0
Petrol,Hatchback,Manual,2,Hyundai,Hyundai Grand i10,2017,4.33,Petrol,5,34332,Manual,18.9
Diesel,SUV,Manual,1,Ford,Ford Ecosport,2018,5.25,Diesel,5,72194,Manual,21.7
Petrol,Hatchback,Manual,1,Maruti,Maruti Baleno,2017,5.26,Petrol,5,56740,Manual,21.4
Diesel,SUV,Manual,1,Mahindra,Mahindra TUV 300,2019,6.55,Diesel,7,72490,Manual,18.49
Petrol,Hatchback,Manual,1,Hyundai,Hyundai Grand i10,2018,4.59,Petrol,5,35828,Manual,18.9
Diesel,SUV,Automatic,1,Audi,Audi Q3,2015,14.5,Diesel,5,57088,Automatic,15.73
Petrol,Sedan,Automatic,1,Toyota,Toyota Yaris,2020,8.65,Petrol,5,70382,Automatic,17.8
Petrol,Hatchback,Manual,1,Maruti,Maruti Ignis,2022,5.5,Petrol,5,20000,Manual,20.89
Diesel,Sedan,Automatic,1,Hyundai,Hyundai Verna,2018,11.25,Diesel,5,17000,Automatic,22.0
Petrol,SUV,Automatic,1,MG,MG Hector,2020,15.0,Petrol,5,30000,Automatic,13.96
Petrol,Hatchback,Manual,1,Honda,Honda Jazz,2012,2.61,Petrol,5,70000,Manual,16.7
Petrol,MUV,Automatic,1,Maruti,Maruti Ertiga,2019,9.5,Petrol,7,65202,Automatic,18.69
Petrol,MUV,Manual,1,Maruti,Maruti Ertiga,2013,4.85,Petrol,7,72000,Manual,16.02
Cng,Hatchback,Manual,1,Maruti,Maruti Wagon R,2021,5.1,CNG,5,45313,Manual,32.52
Diesel,Sedan,Automatic,1,Mercedes-Benz,Mercedes-Benz C-Class,2015,25.0,Diesel,5,40000,Automatic,19.27
Diesel,SUV,Manual,1,Mahindra,Mahindra XUV500,2014,6.64,Diesel,7,120000,Manual,15.1
Petrol,Hatchback,Manual,2,Maruti,Maruti Ritz,2014,2.84,Petrol,5,54235,Manual,18.5
Petrol,Hatchback,Automatic,1,Maruti,Maruti Ignis,2018,5.2,Petrol,5,52777,Automatic,20.89
Petrol,Hatchback,Manual,1,Hyundai,Hyundai i20,2018,5.9,Petrol,5,26000,Manual,18.6
Petrol,Sedan,Manual,1,Skoda,Skoda Rapid,2018,6.55,Petrol,5,77937,Manual,15.41
Petrol,Sedan,Manual,1,Tata,Tata Tigor,2021,6.99,Petrol,5,40663,Manual,19.28
Petrol,Hatchback,Manual,1,Hyundai,Hyundai Grand i10,2015,3.95,Petrol,5,40000,Manual,18.9
Petrol,Sedan,Manual,1,Toyota,Toyota Etios,2011,2.17,Petrol,5,115500,Manual,17.6
Petrol,Sedan,Automatic,1,Skoda,Skoda Superb,2015,9.4,Petrol,5,67000,Automatic,13.7
Petrol,SUV,Manual,1,Hyundai,Hyundai Creta,2016,8.87,Petrol,5,16312,Manual,13.0
Petrol,Sedan,Manual,2,Maruti,Maruti Swift Dzire,2016,4.8,Petrol,5,60000,Manual,20.85
Petrol,MUV,Manual,1,Honda,Honda Mobilio,2014,4.25,Petrol,7,90000,Manual,17.3
Cng,Hatchback,Manual,1,Hyundai,Hyundai Grand i10,2018,4.95,CNG,5,67000,Manual,18.9
Petrol,Sedan,Manual,2,Maruti,Maruti Ciaz,2015,5.5,Petrol,5,80000,Manual,20.73
Petrol,Hatchback,Manual,1,Hyundai,Hyundai i10,2011,1.37,Petrol,5,60000,Manual,19.81
Petrol,Sedan,Automatic,1,Honda,Honda City,2015,5.65,Petrol,5,34253,Automatic,18.0
Petrol,SUV,Automatic,1,Kia,Kia Seltos,2019,12.9,Petrol,5,27000,Automatic,16.8
Petrol,Hatchback,Automatic,2,Maruti,Maruti Celerio,2017,3.55,Petrol,5,64000,Automatic,23.1
Petrol,Sedan,Manual,1,Hyundai,Hyundai Xcent,2015,3.86,Petrol,5,67827,Manual,19.1
Petrol,Hatchback,Manual,1,Maruti,Maruti Baleno,2018,5.14,Petrol,5,79094,Manual,21.4
Petrol,Sedan,Manual,2,Hyundai,Hyundai Verna,2012,3.25,Petrol,5,64589,Manual,17.01
Petrol,Hatchback,Manual,1,Hyundai,Hyundai i20 Active,2015,5.08,Petrol,5,88309,Manual,17.19
Petrol,Hatchback,Manual,2,Maruti,Maruti Swift,2018,5.67,Petrol,5,66688,Manual,22.38
Petrol,Hatchback,Manual,1,Maruti,Maruti Baleno,2022,6.7,Petrol,5,20000,Manual,21.01
Petrol,Sedan,Automatic,1,Maruti,Maruti Ciaz,2018,7.6,Petrol,5,60653,Automatic,20.28
Diesel,MUV,Automatic,1,Kia,Kia Carnival,2022,33.5,Diesel,7,70000,Automatic,14.11
Petrol,Hatchback,Manual,1,Hyundai,Hyundai Grand i10,2017,3.98,Petrol,5,86527,Manual,18.9
Petrol,Sedan,Manual,1,Honda,Honda Amaze,2017,4.85,Petrol,5,67000,Manual,19.5
Petrol,Hatchback,Manual,3,Honda,Honda Jazz,2009,1.35,Petrol,5,70000,Manual,16.0
Petrol,SUV,Automatic,3,Ford,Ford Ecosport,2013,3.0,Petrol,5,70000,Automatic,16.5
Petrol,Sedan,Manual,1,Honda,Honda Amaze,2018,5.25,Petrol,5,70311,Manual,18.6
Petrol,Hatchback,Manual,1,Tata,Tata Tiago,2016,3.75,Petrol,5,54000,Manual,23.84
Petrol,Sedan,Manual,3,Honda,Honda City,2009,1.3,Petrol,5,80000,Manual,17.0
Diesel,SUV,Manual,1,Honda,Honda WR-V,2017,5.95,Diesel,5,52000,Manual,25.5
Petrol,Hatchback,Manual,1,Maruti,Maruti Wagon R,2010,2.0,Petrol,5,20000,Manual,18.9
Diesel,Hatchback,Manual,1,Hyundai,Hyundai i20,2019,5.31,Diesel,5,80000,Manual,22.54
Petrol,Hatchback,Manual,3,Maruti,Maruti Wagon R,2009,1.5,Petrol,5,110000,Manual,18.9
Cng,Hatchback,Manual,1,Maruti,Maruti Wagon R,2019,5.03,CNG,5,69821,Manual,33.54
Petrol,Hatchback,Manual,1,Tata,Tata Altroz,2021,8.62,Petrol,5,12754,Manual,18.05
Petrol,Sedan,Manual,1,Toyota,Toyota Corolla Altis,2017,8.8,Petrol,5,69000,Manual,14.28
Petrol,Hatchback,Manual,1,Maruti,Maruti Wagon R,2014,2.72,Petrol,5,98390,Manual,20.51
Petrol,Sedan,Automatic,1,Maruti,Maruti Ciaz,2016,6.27,Petrol,5,84195,Automatic,19.12
Petrol,Sedan,Automatic,1,Mercedes-Benz,Mercedes-Benz CLA,2018,28.5,Petrol,5,17000,Automatic,15.04
Petrol,Hatchback,Manual,1,Maruti,Maruti Ignis,2017,4.28,Petrol,5,77184,Manual,20.89
Petrol,Sedan,Manual,1,Tata,Tata Manza,2012,1.75,Petrol,5,40000,Manual,13.7
Petrol,Hatchback,Manual,1,Hyundai,Hyundai Grand i10,2017,4.14,Petrol,5,82848,Manual,18.9
Petrol,Hatchback,Automatic,1,Tata,Tata Tiago,2019,5.1,Petrol,5,30000,Automatic,23.84
Petrol,Hatchback,Manual,1,Honda,Honda Jazz,2016,5.5,Petrol,5,50000,Manual,18.7
Diesel,MUV,Automatic,1,Toyota,Toyota Innova Crysta,2022,23.41,Diesel,7,40000,Automatic,12.0
Petrol,Hatchback,Manual,1,Maruti,Maruti Alto K10,2013,1.7,Petrol,5,70000,Manual,20.92
Petrol,Hatchback,Manual,1,Maruti,Maruti Baleno,2017,4.5,Petrol,5,47688,Manual,21.01
Petrol,Sedan,Manual,3,Toyota,Toyota Corolla Altis,2009,1.1,Petrol,5,100000,Manual,14.53
Diesel,Hatchback,Manual,2,Nissan,Nissan Micra,2014,2.0,Diesel,5,90000,Manual,23.08
Petrol,Hatchback,Manual,1,Maruti,Maruti Wagon R,2006,0.33,Petrol,5,40000,Manual,18.9
Petrol,Hatchback,Manual,2,Mahindra,Mahindra KUV 100 NXT,2018,3.5,Petrol,6,40000,Manual,18.15
Diesel,SUV,Manual,1,Renault,Renault Duster,2016,4.1,Diesel,5,50000,Manual,19.87
Petrol,Sedan,Manual,2,Toyota,Toyota Corolla Altis,2012,5.0,Petrol,5,30000,Manual,14.53
Petrol,Hatchback,Automatic,2,Maruti,Maruti Baleno,2018,5.43,Petrol,5,106711,Automatic,21.4
Petrol,Hatchback,Manual,1,Hyundai,Hyundai i20,2017,5.14,Petrol,5,83741,Manual,18.6
Diesel,SUV,Automatic,1,Audi,Audi Q5,2014,11.5,Diesel,5,50000,Automatic,14.16
Diesel,Sedan,Manual,1,Volkswagen,Volkswagen Vento,2018,7.47,Diesel,5,105792,Manual,22.27
Petrol,Hatchback,Manual,1,Maruti,Maruti Baleno,2019,5.93,Petrol,5,88750,Manual,21.4
Diesel,SUV,Manual,1,Mahindra,Mahindra XUV500,2014,9.0,Diesel,7,70000,Manual,15.1
Petrol,Hatchback,Manual,1,Hyundai,Hyundai i20 Active,2018,5.39,Petrol,5,89972,Manual,17.19
Petrol,Sedan,Manual,1,Volkswagen,Volkswagen Vento,2014,3.35,Petrol,5,50000,Manual,15.04
Petrol,Hatchback,Manual,2,Honda,Honda Jazz,2019,5.94,Petrol,5,36785,Manual,18.2
Petrol,Sedan,Manual,1,Hyundai,Hyundai Verna,2019,9.1,Petrol,5,48000,Manual,19.1
Petrol,Sedan,Automatic,1,Mercedes-Benz,Mercedes-Benz C-Class,2023,60.0,Petrol,5,7000,Automatic,16.9
Petrol,MUV,Automatic,1,Renault,Renault Triber,2021,7.6,Petrol,7,50000,Automatic,18.2
Diesel,SUV,Manual,1,Maruti,Maruti Vitara Brezza,2016,4.9,Diesel,5,40000,Manual,24.3
Petrol,Hatchback,Manual,1,Hyundai,Hyundai i20,2017,5.21,Petrol,5,59000,Manual,18.6
Petrol,SUV,Automatic,1,Jeep,Jeep Compass,2019,14.0,Petrol,5,70000,Automatic,16.0
Diesel,SUV,Manual,1,Kia,Kia Seltos,2019,9.0,Diesel,5,110000,Manual,20.8
Diesel,SUV,Manual,1,Mahindra,Mahindra Scorpio,2015,9.5,Diesel,7,100000,Manual,15.4
Diesel,SUV,Automatic,2,Mercedes-Benz,Mercedes-Benz GLS,2017,55.0,Diesel,7,30000,Automatic,11.0
Petrol,Sedan,Manual,1,Skoda,Skoda Rapid,2020,7.65,Petrol,5,48000,Manual,18.97
Petrol,Sedan,Manual,1,Hyundai,Hyundai Xcent,2017,5.55,Petrol,5,22424,Manual,20.14
Petrol,Sedan,Manual,1,Hyundai,Hyundai Xcent,2017,4.77,Petrol,5,58147,Manual,20.14
Petrol,Hatchback,Manual,1,Hyundai,Hyundai Grand i10,2015,3.41,Petrol,5,67000,Manual,18.9
Petrol,Hatchback,Automatic,1,Maruti,Maruti Celerio,2019,4.76,Petrol,5,112479,Automatic,23.1
Petrol,Sedan,Automatic,1,Maruti,Maruti Swift Dzire,2018,6.11,Petrol,5,25494,Automatic,21.21
Diesel,SUV,Automatic,2,Hyundai,Hyundai Creta,2016,7.9,Diesel,5,78000,Automatic,17.01
Petrol,Hatchback,Manual,2,Hyundai,Hyundai i20,2016,5.13,Petrol,5,51276,Manual,18.6
Diesel,SUV,Manual,1,Hyundai,Hyundai Creta,2017,8.25,Diesel,5,85000,Manual,19.67
Petrol,Hatchback,Manual,2,Honda,Honda Jazz,2018,5.84,Petrol,5,75402,Manual,18.7
Petrol,Sedan,Manual,1,Toyota,Toyota Corolla Altis,2014,6.65,Petrol,5,109000,Manual,14.28
Petrol,Sedan,Automatic,1,BMW,BMW 5 Series,2021,63.5,Petrol,5,14500,Automatic,15.01
Diesel,SUV,Automatic,2,Audi,Audi Q7,2017,46.0,Diesel,7,76000,Automatic,14.75
Petrol,Sedan,Manual,1,Honda,Honda Amaze,2017,4.75,Petrol,5,34000,Manual,17.8
Petrol,Sedan,Manual,2,Hyundai,Hyundai Xcent,2015,3.3,Petrol,5,80000,Manual,19.1
Diesel,Sedan,Automatic,1,Honda,Honda Amaze,2018,6.35,Diesel,5,60000,Automatic,23.8
Diesel,SUV,Manual,1,Nissan,Nissan Terrano,2014,3.99,Diesel,5,60000,Manual,19.01
Petrol,Sedan,Manual,2,Maruti,Maruti Swift Dzire,2014,4.2,Petrol,5,59000,Manual,19.1
Diesel,SUV,Manual,1,Ford,Ford Ecosport,2016,4.6,Diesel,5,99000,Manual,21.7
Petrol,SUV,Automatic,1,Jeep,Jeep Compass,2021,23.75,Petrol,5,17000,Automatic,14.1
Petrol,Sedan,Manual,1,Maruti,Maruti Ciaz,2018,7.2,Petrol,5,79982,Manual,21.56
Petrol,Sedan,Automatic,1,Honda,Honda City,2017,8.46,Petrol,5,67047,Automatic,18.0
Diesel,Sedan,Manual,1,Volkswagen,Volkswagen Jetta,2012,5.0,Diesel,5,50000,Manual,19.33
Petrol,Hatchback,Manual,1,Maruti,Maruti Baleno,2017,4.71,Petrol,5,85782,Manual,21.4
Petrol,Hatchback,Manual,1,Maruti,Maruti Baleno,2016,4.46,Petrol,5,99547,Manual,21.4
Petrol,Hatchback,Automatic,1,Renault,Renault KWID,2018,3.65,Petrol,5,30000,Automatic,24.04
Petrol,Hatchback,Manual,1,Maruti,Maruti Celerio,2017,3.54,Petrol,5,69455,Manual,25.24
Petrol,SUV,Automatic,1,Volkswagen,Volkswagen Taigun,2022,16.5,Petrol,5,14000,Automatic,17.88
Petrol,SUV,Automatic,1,Ford,Ford Ecosport,2019,8.78,Petrol,5,40738,Automatic,14.8
Petrol,Sedan,Automatic,1,Mercedes-Benz,Mercedes-Benz C-Class,2015,19.1,Petrol,5,76000,Automatic,11.7
Petrol,Hatchback,Manual,1,Maruti,Maruti Swift,2020,5.25,Petrol,5,30000,Manual,21.21
Diesel,SUV,Manual,1,Ford,Ford Ecosport,2020,8.3,Diesel,5,50000,Manual,23.0
Petrol,Sedan,Manual,2,Nissan,Nissan Sunny,2012,2.0,Petrol,5,90000,Manual,16.95
Petrol,Sedan,Automatic,1,Honda,Honda City,2022,13.45,Petrol,5,10700,Automatic,18.3
Petrol,Sedan,Automatic,1,Honda,Honda City,2022,13.45,Petrol,5,10000,Automatic,18.3
Petrol,Hatchback,Manual,2,Maruti,Maruti Wagon R,2017,3.5,Petrol,5,80000,Manual,20.51
Diesel,SUV,Automatic,1,Audi,Audi Q7,2018,54.95,Diesel,7,36000,Automatic,14.75
Diesel,SUV,Automatic,1,Ford,Ford Endeavour,2018,23.0,Diesel,7,70000,Automatic,10.91
Diesel,SUV,Automatic,1,Toyota,Toyota Fortuner,2015,16.0,Diesel,7,60000,Automatic,12.55
Petrol,Sedan,Automatic,1,Mercedes-Benz,Mercedes-Benz CLA,2018,28.9,Petrol,5,34000,Automatic,15.04
Petrol,Sedan,Manual,1,Honda,Honda City,2016,7.46,Petrol,5,48430,Manual,17.8
Diesel,SUV,Manual,1,Ford,Ford Ecosport,2018,6.39,Diesel,5,93671,Manual,23.0
Diesel,SUV,Automatic,2,Toyota,Toyota Fortuner,2015,14.49,Diesel,7,100000,Automatic,12.55
Petrol,Sedan,Automatic,2,Maruti,Maruti Ciaz,2018,7.36,Petrol,5,108665,Automatic,20.28
Cng,Hatchback,Manual,1,Tata,Tata Tiago,2022,7.49,CNG,5,17447,Manual,26.49
Diesel,SUV,Manual,2,Renault,Renault Duster,2019,6.93,Diesel,5,100579,Manual,19.87
Petrol,Hatchback,Automatic,1,Nissan,Nissan Micra,2013,2.75,Petrol,5,80000,Automatic,19.34
Petrol,Hatchback,Manual,1,Hyundai,Hyundai Santro,2019,4.75,Petrol,5,65039,Manual,20.3
Diesel,SUV,Automatic,1,Ford,Ford Endeavour,2017,23.0,Diesel,7,60000,Automatic,10.91
Petrol,Hatchback,Manual,4,Hyundai,Hyundai i10,2010,1.5,Petrol,5,50000,Manual,19.81
Petrol,Sedan,Automatic,1,Honda,Honda City,2015,6.65,Petrol,5,65000,Automatic,18.0
Petrol,Hatchback,Manual,3,Hyundai,Hyundai i20,2011,2.25,Petrol,5,84000,Manual,17.0
Petrol,SUV,Automatic,1,Toyota,Toyota Fortuner,2021,35.0,Petrol,7,35000,Automatic,10.26
Diesel,SUV,Manual,1,Maruti,Maruti Vitara Brezza,2018,8.5,Diesel,5,80000,Manual,24.3
Petrol,SUV,Manual,1,Toyota,Toyota Hyryder,2023,19.85,Petrol,5,16500,Manual,19.39
Diesel,SUV,Manual,2,Toyota,Toyota Fortuner,2019,31.0,Diesel,7,40000,Manual,14.24
Petrol,Sedan,Manual,1,Honda,Honda City,2016,5.5,Petrol,5,50500,Manual,17.8
Petrol,Sedan,Manual,2,Tata,Tata Zest,2016,2.85,Petrol,5,90000,Manual,17.57
Petrol,Sedan,Automatic,2,Honda,Honda City,2010,3.0,Petrol,5,80000,Automatic,16.8
Petrol,Hatchback,Manual,1,Maruti,Maruti Swift,2018,5.25,Petrol,5,40000,Manual,22.0
Diesel,Sedan,Manual,1,Maruti,Maruti Swift Dzire,2013,3.75,Diesel,5,150000,Manual,23.4
Petrol,Sedan,Manual,1,Hyundai,Hyundai Verna,2020,10.12,Petrol,5,47761,Manual,17.7
Cng,Hatchback,Manual,1,Maruti,Maruti S-Presso,2020,4.0,CNG,4,70000,Manual,31.2
Diesel,SUV,Manual,1,Tata,Tata New Safari,2022,19.3,Diesel,7,17204,Manual,16.14
Petrol,Hatchback,Automatic,1,Hyundai,Hyundai Grand i10,2017,5.25,Petrol,5,66000,Automatic,18.9
Petrol,Hatchback,Manual,1,Renault,Renault KWID,2019,4.25,Petrol,5,41900,Manual,25.17
Petrol,Hatchback,Manual,1,Hyundai,Hyundai Grand i10,2019,5.25,Petrol,5,45000,Manual,18.9
Petrol,Hatchback,Manual,1,Volkswagen,Volkswagen Polo,2013,3.75,Petrol,5,52000,Manual,16.47
Diesel,SUV,Automatic,1,Hyundai,Hyundai Alcazar,2021,21.0,Diesel,7,40000,Automatic,18.1
Petrol,Sedan,Manual,1,Honda,Honda Amaze,2015,4.1,Petrol,5,64000,Manual,18.0
Cng,SUV,Manual,1,Mahindra,Mahindra KUV 100 NXT,2018,4.35,CNG,6,76500,Manual,18.15
Petrol,Sedan,Manual,1,Honda,Honda City,2016,6.45,Petrol,5,48000,Manual,17.8
Petrol,SUV,Automatic,1,Tata,Tata Nexon,2019,7.75,Petrol,5,42000,Automatic,17.0
Petrol,SUV,Manual,2,Renault,Renault Duster,2014,3.75,Petrol,5,50000,Manual,13.24
Petrol,SUV,Manual,2,Ford,Ford Ecosport,2017,6.5,Petrol,5,55000,Manual,15.9
Petrol,Sedan,Manual,2,Volkswagen,Volkswagen Vento,2010,2.05,Petrol,5,90000,Manual,15.04
Petrol,Sedan,Automatic,1,Mercedes-Benz,Mercedes-Benz E-Class,2015,23.9,Petrol,5,72000,Automatic,12.0
Petrol,SUV,Manual,2,Mahindra,Mahindra KUV 100,2018,5.29,Petrol,6,33091,Manual,18.15
Petrol,Hatchback,Manual,1,Renault,Renault KWID,2018,3.0,Petrol,5,40838,Manual,22.25
Petrol,Sedan,Automatic,1,Mercedes-Benz,Mercedes-Benz C-Class,2015,24.0,Petrol,5,56000,Automatic,11.74
Petrol,Hatchback,Manual,1,Maruti,Maruti Swift,2017,4.99,Petrol,5,67043,Manual,22.38
Petrol,SUV,Automatic,1,Mini,Mini Cooper Countryman,2021,32.75,Petrol,5,18000,Automatic,14.34
Petrol,Sedan,Manual,1,Toyota,Toyota Etios,2011,2.07,Petrol,5,100010,Manual,17.6
Petrol,Hatchback,Automatic,2,Maruti,Maruti Celerio,2016,3.9,Petrol,5,70000,Automatic,23.1
Petrol,Sedan,Manual,1,Honda,Honda City,2015,6.03,Petrol,5,56857,Manual,17.4
Petrol,Sedan,Automatic,1,Toyota,Toyota Camry,2014,14.0,Petrol,5,120000,Automatic,19.16
Diesel,SUV,Automatic,1,Mercedes-Benz,Mercedes-Benz GL-Class,2015,31.5,Diesel,7,92000,Automatic,11.3
Diesel,Sedan,Automatic,1,Mercedes-Benz,Mercedes-Benz E-Class,2019,50.0,Diesel,5,45000,Automatic,16.1
Diesel,MUV,Automatic,1,Toyota,Toyota Innova Crysta,2019,17.25,Diesel,8,68000,Automatic,11.36
Petrol,SUV,Automatic,1,Mercedes-Benz,Mercedes-Benz GLC,2020,52.4,Petrol,5,36000,Automatic,12.74
Petrol,Sedan,Automatic,2,BMW,BMW 7 Series,2012,16.0,Petrol,5,67000,Automatic,8.45
Petrol,Sedan,Manual,1,Toyota,Toyota Corolla Altis,2017,12.5,Petrol,5,37000,Manual,14.28
Petrol,SUV,Automatic,1,MG,MG Hector Plus,2021,19.25,Petrol,6,9150,Automatic,16.56
Diesel,Hatchback,Manual,3,Hyundai,Hyundai i20,2012,2.5,Diesel,5,100000,Manual,23.0
Petrol,Sedan,Automatic,1,Honda,Honda Amaze,2022,9.35,Petrol,5,10000,Automatic,18.3
Cng,MUV,Manual,1,Maruti,Maruti Ertiga,2013,5.51,CNG,7,116059,Manual,26.11
Petrol,Hatchback,Manual,1,Maruti,Maruti Ignis,2022,5.06,Petrol,5,18254,Manual,20.89
Diesel,SUV,Automatic,1,Land Rover,Land Rover Range Rover Sport,2016,63.0,Diesel,5,61200,Automatic,12.65
Petrol,Sedan,Manual,1,Honda,Honda Amaze,2016,4.22,Petrol,5,108133,Manual,18.0
Petrol,MUV,Manual,1,Maruti,Maruti Ertiga,2014,6.31,Petrol,7,66198,Manual,20.51
Petrol,Hatchback,Manual,1,Maruti,Maruti Baleno,2017,5.9,Petrol,5,49000,Manual,21.01
Petrol,Hatchback,Automatic,1,Hyundai,Hyundai Grand i10,2017,4.99,Petrol,5,89733,Automatic,18.9
Petrol,Hatchback,Automatic,1,Maruti,Maruti Swift,2022,7.85,Petrol,5,20000,Automatic,22.56
Diesel,Hatchback,Manual,2,Hyundai,Hyundai i20,2014,3.25,Diesel,5,90360,Manual,21.9
Petrol,SUV,Automatic,1,Land Rover,Land Rover Discovery Sport,2017,36.0,Petrol,5,44000,Automatic,12.63
Petrol,Sedan,Automatic,1,Toyota,Toyota Yaris,2020,9.25,Petrol,5,26000,Automatic,17.8
Petrol,Sedan,Manual,1,Maruti,Maruti Ciaz,2016,6.45,Petrol,5,68000,Manual,20.73
Petrol,Sedan,Manual,1,Maruti,Maruti Ciaz,2018,7.6,Petrol,5,60000,Manual,21.56
Petrol,Sedan,Automatic,1,BMW,BMW 3 Series,2020,42.0,Petrol,5,20000,Automatic,16.13
Petrol,Sedan,Manual,1,Honda,Honda City,2021,12.45,Petrol,5,8000,Manual,17.4
Diesel,SUV,Manual,1,Renault,Renault Duster,2014,5.0,Diesel,5,120000,Manual,19.01
Cng,Hatchback,Manual,1,Maruti,Maruti Wagon R,2015,2.8,CNG,5,70000,Manual,26.6
Petrol,Sedan,Manual,3,Honda,Honda City,2009,1.15,Petrol,5,90000,Manual,17.0
Diesel,SUV,Manual,1,Ford,Ford Ecosport,2018,6.0,Diesel,5,70000,Manual,23.0
Diesel,SUV,Manual,1,Tata,Tata Harrier,2021,16.5,Diesel,5,70000,Manual,16.35
Petrol,SUV,Manual,2,Hyundai,Hyundai Venue,2021,8.53,Petrol,5,14445,Manual,18.27
Petrol,SUV,Automatic,2,Tata,Tata Nexon,2019,8.61,Petrol,5,29847,Automatic,17.0
Petrol,Sedan,Manual,2,Volkswagen,Volkswagen Vento,2011,2.75,Petrol,5,80000,Manual,15.04
Petrol,Hatchback,Automatic,1,Hyundai,Hyundai Grand i10,2014,4.18,Petrol,5,88443,Automatic,18.9
Petrol,Hatchback,Manual,2,Hyundai,Hyundai i10,2011,1.9,Petrol,5,82892,Manual,20.36
Petrol,Hatchback,Manual,1,Hyundai,Hyundai i20 Active,2015,5.19,Petrol,5,59549,Manual,17.19
Cng,Hatchback,Manual,1,Maruti,Maruti Wagon R,2015,3.2,CNG,5,70000,Manual,26.6
Cng,Hatchback,Manual,2,Maruti,Maruti Wagon R,2019,5.01,CNG,5,64228,Manual,33.54
Petrol,Hatchback,Manual,1,Maruti,Maruti Swift,2022,7.0,Petrol,5,10000,Manual,22.38
Diesel,SUV,Manual,2,Ford,Ford Ecosport,2018,6.0,Diesel,5,60000,Manual,23.0
Petrol,SUV,Automatic,1,Tata,Tata Nexon,2018,6.75,Petrol,5,32000,Automatic,17.0
Petrol,Hatchback,Manual,1,Maruti,Maruti Swift,2019,5.5,Petrol,5,20000,Manual,21.21
